ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
イーター電機工業,イーター電機工業株式会社（イーターでんきこうぎょう）は、東京都大田区に本社を置く、スイッチング電源を製造販売している企業。2008年3月期以降8期連続で純損失を計上するなど、厳しい経営状況が続いている。
イビデン,"イビデン株式会社（英: IBIDEN CO.,LTD. ）は、岐阜県大垣市に本社をおくICパッケージ、プリント基板などの電子関連製品、セラミックス製品などを扱う企業。"
イビデン電子工業,イビデン電子工業株式会社（イビデンでんしこうぎょう）は、岐阜県大垣市青柳町300番地（イビデン青柳事業場）に本社を置く、イビデンのグループ会社である。
イマジカ・ロボット_ホールディングス,株式会社イマジカ・ロボット ホールディングス（英: Imagica Robot Holdings Inc.）は、日本の持株会社。
イメーション,イメーション (Imation Corporation、NYSE:IMN) は、アメリカ合衆国に本部を置くコンピュータ関連の製造・販売を行う会社である。ミネソタ州に本社を置いている。
イリソ電子工業,"イリソ電子工業株式会社（イリソでんしこうぎょう、Iriso Electronics Co., Ltd.）は、神奈川県横浜市港北区に本社を置くコネクタ、ソケットなどを製造、販売するメーカーである。"
インスペック,インスペック株式会社は、秋田県仙北市に本社を置く半導体検査装置メーカー。
インターナショナル・レクティファイアー,インターナショナル・レクティファイアー（International Rectifier、NYSE: IRF）は、パワー・マネジメント（電源管理）向けの半導体製品を中心とする電気機器の製造販売やソリューションを提供する米国の企業である。1979年にHEXFETRシリーズとして知られるパワーMOSFETを開発し、この分野では老舗企業である。2002年には、放熱性に優れたDirectFETRパッケージ技術を開発し、2007年から他社にライセンス供与を開始した。2014年8月20日、インフィニオン・テクノロジーズによって、現金約30億米ドルで買収を受けることで合意した。
インタフェース_(企業),株式会社インタフェースは、広島県広島市に本社を置き、産業用のコンピュータやその周辺機器、ソフトウェアなどを開発・製造・販売している会社である。製造している機器類は、一般消費者向けではなく企業が工場の生産ラインの制御・管理などに用いるものである。24時間365日連続稼動できる信頼性の高い機器の開発を行っており、ファンやハードディスクドライブなどの可動部品をなくしたメンテナンスフリー設計や電解コンデンサを用いない高信頼性設計、熱対策などを特徴とした製品を開発・販売している。また、全品国内開発・国内生産を謳っている。社名のインタフェースは、情報技術関連で一般的にものごとの境界となる部分やプロトコルを指す言葉であり、またコンピュータと人間や周辺機器を接続する役割を果たす装置のことでもある。こうした装置の開発・製造を行うところから社名がつけられている。
インテル,"インテル（英:Intel Corporation）は、アメリカ合衆国カリフォルニア州に本社を置く半導体素子メーカーである。「Intel」という名称はIntegrated Electronics(集積されたエレクトロニクス)が由来である。米国でのスローガンは、""Sponsors of Tomorrow""、日本でのスローガンは、""その好奇心で、未来をつくろう""である。"
インネクスト,"株式会社インネクスト（英: Innext Co., Ltd.）は、中・小型液晶ディスプレイ検査装置において世界トップクラスのシェアを誇る液晶関連メーカー。"
インベンテック開発,インベンテック開発株式会社は、台湾のインベンテック傘下のパソコン製造・販売メーカー。ブランド名の「KOHJINSHA」は、社名改称前の「工人舎」からきている。
ヴイストン,"ヴイストン株式会社（Vstone Co.,Ltd.）は、電子機器・学習用教材等の製造や販売を行っているベンチャー企業である。二足歩行ロボットの販売で有名。"
ウインテスト,ウインテスト株式会社は、神奈川県横浜市に本社を置く、株式会社タカトリ傘下の電子部品用検査装置関連の研究開発型企業である。半導体計測やアナログ／デジタルを混載するミックスド・シグナル・デバイスの計測に強みがある。工場は持っていない。
ウェスタンデザインセンター,ウェスタンデザインセンター（英: Western Design Center、WDC）は、MOS 65xxベースのマイクロプロセッサやマイクロコントローラ、関連チップなどを開発製造している企業。アメリカ合衆国のメサにある。1978年、MOS 6502の特許権の一部を保有する技術者 Bill Mensch （かつてのモステクノロジー社員）が設立した。チップの製造以外に、ASICなどに使われるIPコアの設計も請け負っており、ASIC や組み込みシステムについてのプロセッサ設計関連のコンサルティングも行っている。また、自社製プロセッサ向けに、Cコンパイラ、アセンブラ/リンカ、シミュレータ、評価用/開発用プリント基板、インサーキット・エミュレータなども開発している。
